Inn,Ogrn,КПП,Полное наименование,Короткое наименование,Почтовый индекс,Регион,Округ
3446501024,1023404239583,344601001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский Государственный Аграрный Университет»,ФГБОУ ВО Волгоградский ГАУ,400002,Волгоградская обл,Южный
2301064107,1072301003554,230101001,Федеральное государственное казенное образовательное учреждение высшего образования «Институт Береговой Охраны Федеральной Службы Безопасности Российской Федерации»,ФГКОУ ИБО ФСБ России ,353440,Краснодарский край,Южный
7451035369,1027402921479,745101001,Государственное бюджетное образовательное учреждение высшего образования «Южно-уральский Государственный Институт Искусств Имени П.И. Чайковского»,ГБОУ ВО «Юургии им. П.И. Чайковского»,454091,Челябинская обл,Уральский
5405115993,1025401932753,540501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский Государственный Аграрный Университет»,ФГБОУ ВО Новосибирский ГАУ,630039,Новосибирская обл,Сибирский
7820019192,1024701897043,782001001,Государственное автономное образовательное учреждение высшего образования ленинградской области «Ленинградский Государственный Университет Имени А.С.Пушкина»,ГАОУ ВО ЛО «ЛГУ им.А.С.Пушкина» ,196605,г Санкт-Петербург,Северо-Западный
2312038420,1022301972516,231201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский Государственный Университет»,ФГБОУ ВО «Кубгу»,350040,Краснодарский край,Южный
7710324108,1037739536768,772701001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский Государственный Университет Правосудия»,ФГБОУВО «РГУП» ,117418,г Москва,Центральный
7714034840,1037700183322,771401001,Федеральное государственное казенное образовательное учреждение высшего образования «Пограничная Академия Федеральной Службы Безопасности Российской Федерации»,,125040,г Москва,Центральный
6902016151,1026900585843,695201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверская Государственная Сельскохозяйственная Академия»,ФГБОУ ВО Тверская Гсха ,170904,Тверская обл,Центральный
7801023965,1037800021225,780101001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-петербургская Академия Художеств Имени Ильи Репина»,Санкт-Петербургская Академия Художеств,199034,г Санкт-Петербург,Северо-Западный
6670096267,1057747900143,667001001,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский Институт Государственной Противопожарной Службы Министерства Российской Федерации По Делам Гражданской Обороны, Чрезвычайным Ситуациям И Ликвидации Последствий Стихийных Бедствий»",УИГПС МЧС России,620062,Свердловская обл,Уральский
7702066990,1027700471039,770201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский Архитектурный Институт (государственная Академия)»,Мархи,107031,г Москва,Центральный
2223010768,1022201379980,222301001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский Государственный Институт Культуры»,Алтайский Государственный Институт Культуры,656055,Алтайский край,Сибирский
7303002000,1027301176627,732501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский Институт Гражданской Авиации Имени Главного Маршала Авиации Б.П. Бугаева»,ФГБОУ ВО УИ ГА,432071,Ульяновская обл,Приволжский
6323033283,1026302005014,632401001,Образовательная автономная некоммерческая организация высшего образования «Волжский Университет Имени В.Н. Татищева» (институт),ОАНО ВО «Вуит»,445020,Самарская обл,Приволжский
7810251630,1037821044150,781001001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-петербургский Государственный Университет Гражданской Авиации Имени Главного Маршала Авиации А.А. Новикова»,ФГБОУ ВО СПБГУ ГА им. А.А. Новикова,196210,г Санкт-Петербург,Северо-Западный
7717035419,1027739451684,771701001,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия Государственной Противопожарной Службы Министерства Российской Федерации По Делам Гражданской Обороны, Чрезвычайным Ситуациям И Ликвидации Последствий Стихийных Бедствий»",ФГБОУ ВО «Академия ГПС МЧС России»,129366,г Москва,Центральный
1653003129,1021602829874,165501001,Частное образовательное учреждение высшего образования «Институт Социальных И Гуманитарных Знаний»,ЧОУ ВО «ИСГЗ»,420111,Респ Татарстан,Приволжский
1646010580,1021606958988,165001001,Частное образовательное учреждение высшего образования «Камский Институт»,ЧОУ ВО «Камский Институт» ,423818,Респ Татарстан,Приволжский
7812003110,1027810232680,783801001,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-петербургский Государственный Университет Аэрокосмического Приборостроения»,ФГАОУ ВО ГУАП,190121,г Санкт-Петербург,Северо-Западный
6164028535,1026103286340,616401001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ростовская Государственная Консерватория Им. С. В. Рахманинова»,Ростовская Государственная Консерватория им. С. В. Рахманинова,344002,Ростовская обл,Южный
2465015109,1022402471992,246501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Красноярский Государственный Медицинский Университет Имени Профессора В.Ф. Войно-ясенецкого» министерства здравоохранения российской федерации,ФГБОУ ВО Красгму им. Проф. В.Ф. Войно-Ясенецкого Минздрава России ,660022,Красноярский край,Сибирский
7705051127,1027700508373,500101001,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Ракетных Войск Стратегического Назначения Имени Петра Великого» министерства обороны российской федерации,Военная Академия РВСН имени Петра Великого,143900,Московская обл,Центральный
7712037162,1027739299697,772601001,Государственное автономное образовательное учреждение высшего образования города москвы «Московский Государственный Университет Спорта И Туризма»,ГАОУ ВО МГУСИТ,117519,г Москва,Центральный
3666077146,1033600030771,366601001,Муниципальное образовательное автономное учреждение высшего образования «Воронежский Институт Экономики И Социального Управления»,МОАУ ВО «Воронежский Институт Экономики и Социального Управления»,394036,Воронежская обл,Центральный
2631019060,1022603624383,263101001,Государственное автономное образовательное учреждение высшего образования «Невинномысский Государственный Гуманитарно-технический Институт»,ГАОУ ВО «Невинномысский Государственный Гуманитарно-Технический Институт»,357108,Ставропольский край,Северо-Кавказский
6731011390,1026701439720,673101001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Смоленский Государственный Университет Спорта»,ФГБОУ ВО «СГУС» ,214018,Смоленская обл,Центральный
4826012416,1024840843631,482601001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Липецкий Государственный Технический Университет»,ФГБОУ ВО «Липецкий Государственный Технический Университет»,398070,Липецкая обл,Центральный
1659017872,1021603477411,165901001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский Государственный Институт Культуры»,Казанский Государственный Институт Культуры,420064,Респ Татарстан,Приволжский
7106003011,1027100753360,710601001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тульский Государственный Университет»,ФГБОУ ВО «Тулгу»,300012,Тульская обл,Центральный
2309055143,1022301979534,231001001,Некоммерческое образовательное частное учреждение высшего образования «Кубанский Медицинский Институт»,НОЧУ ВО «Кубанский Медицинский Институт»,350000,Краснодарский край,Южный
7808004760,1027809197635,784001001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-петербургский Государственный Университет Телекоммуникаций Им. Проф. М.А. Бонч-бруевича»,СПбГУТ,191186,г Санкт-Петербург,Северо-Западный
2724021471,1022701290710,272401001,Федеральное государственное казенное образовательное учреждение высшего образования «Хабаровский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,ФГКОУ ХПИ ФСБ России,680022,Хабаровский край,Дальневосточный
5036171697,1185000002406,503601001,Автономная некоммерческая образовательная организация высшего образования «Подольский Социально-спортивный Институт»,АНООВО «ПССИ»,142116,Московская обл,Центральный
6315800548,1026300966361,631501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Самарский Государственный Институт Культуры»,Самарский Государственный Институт Культуры,443010,Самарская обл,Приволжский
1102011331,1021100736326,110201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ухтинский Государственный Технический Университет»,ФГБОУ ВО «УГТУ»,169300,Респ Коми,Северо-Западный
7718084994,1027700134879,771701001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский Государственный Социальный Университет»,ФГБОУ ВО «РГСУ»,129226,г Москва,Центральный
2315013840,1022302378670,231501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный Морской Университет Имени Адмирала Ф.Ф. Ушакова»,ФГБОУ ВО «ГМУ ИМ. АДМ. Ф.Ф. УШАКОВА»,353924,Краснодарский край,Южный
3907015131,1023901653302,390601001,Федеральное государственное казенное образовательное учреждение высшего образования «Калининградский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,ФГКОУ Капи ФСБ России,236034,Калининградская обл,Северо-Западный
3435880613,1023402021500,343501001,"Государственное бюджетное образовательное учреждение высшего образования «Волжский Институт Экономики, Педагогики И Права»",ГБОУ ВО ВИЭПП,404111,Волгоградская обл,Южный
4501042062,1034500008795,450101001,Федеральное государственное казенное образовательное учреждение высшего образования «Курганский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,ФГКОУ КПИ ФСБ России,640002,Курганская обл,Уральский
7020000080,1027000882886,701701001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский Государственный Архитектурно-строительный Университет»,ФГБОУ ВО «Томский Государственный Архитектурно-Строительный Университет»,634003,Томская обл,Сибирский
7702060613,1027700456013,770201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Высшее Театральное Училище (институт) Им.М.С.Щепкина При Государственном Академическом Малом Театре России»,Высшее Театральное Училище (Институт) им.М.С.Щепкина,109012,г Москва,Центральный
2311092752,1062311050042,231101001,Федеральное государственное казенное образовательное учреждение высшего образования «Краснодарский Университет Министерства Внутренних Дел Российской Федерации»,Краснодарский университет Министерства внутренних дел Российской Федерации,350005,Краснодарский край,Южный
4401006286,1024400529504,440101001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Костромской Государственный Университет»,КГУ,156005,Костромская обл,Центральный
5040036468,1025005117213,504001001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Гжельский Государственный Университет»,ФГБОУ ВО «ГГУ»,140155,Московская обл,Центральный
7536010483,1027501147960,753601001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Читинская Государственная Медицинская Академия» министерства здравоохранения российской федерации,ФГБОУ ВО ЧГМА МИНЗДРАВА РОССИИ,672000,Забайкальский край,Дальневосточный
5501003925,1025500532947,550101001,Федеральное государственное автономное образовательное учреждение высшего образования «Омский Государственный Университет Им. Ф.М. Достоевского»,ФГАОУ ВО «ОМГУ ИМ. Ф.М. ДОСТОЕВСКОГО»,644077,Омская обл,Сибирский
5920005457,1025902030868,592001001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чайковская Государственная Академия Физической Культуры И Спорта»,ФГБОУ ВО «ЧГАФКИС»,617764,Пермский край,Приволжский
3662020886,1033600070448,366401001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский Государственный Технический Университет»,ФГБОУ ВО «ВГТУ»,394006,Воронежская обл,Центральный
1655018804,1021602854965,165501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский Национальный Исследовательский Технологический Университет»,ФГБОУ ВО «КНИТУ» ,420015,Респ Татарстан,Приволжский
3812014066,1023801756120,381201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский Национальный Исследовательский Технический Университет»,ФГБОУ ВО «Ирниту»,664074,Иркутская обл,Сибирский
7707082145,1027739808898,770701001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский Университет Медицины» министерства здравоохранения российской федерации,ФГБОУ ВО «Российский Университет Медицины» Минздрава России,127006,г Москва,Центральный
6902010135,1026900533747,695201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверской Государственный Технический Университет»,ФГБОУ ВО Твгту,170026,Тверская обл,Центральный
4629029121,1034637005292,463201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Курский Государственный Аграрный Университет Имени И.И. Иванова»,Курский ГАУ,305021,Курская обл,Центральный
3728012857,1033700052858,370201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Верхневолжский Государственный Агробиотехнологический Университет»,ФГБОУ ВО «Верхневолжский ГАУ» ,153012,Ивановская обл,Центральный
6323068825,1036300992067,632401001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Поволжский Государственный Университет Сервиса»,ФГБОУ ВО «Пвгус»,445017,Самарская обл,Приволжский
2727000776,1022700514737,270301001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский Гуманитарно-педагогический Государственный Университет»,ФГБОУ ВО «Амгпгу» ,681000,Хабаровский край,Дальневосточный
1650098690,1031616014792,165001001,Частное образовательное учреждение высшего образования «Камский Институт Искусств И Дизайна»,ЧОУ ВО «КИИД»,423826,Респ Татарстан,Приволжский
2320074862,1022302921080,232001001,Образовательное частное учреждение высшего образования «Международный Инновационный Университет»,ОЧУВО «Международный Инновационный Университет»,354000,Краснодарский край,Южный
6663009200,1036604787603,668601001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский Государственный Педагогический Университет»,ФГБОУ ВО «Ургпу»,620091,Свердловская обл,Уральский
1655018025,1021602836485,165501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский Государственный Архитектурно-строительный Университет»,КГАСУ,420043,Респ Татарстан,Приволжский
1655073918,1031621014259,165501001,"Автономная некоммерческая организация высшего образования «Казанский Институт Финансов, Экономики И Информатики»",АНО ВО «КИФЭИ»,420021,Респ Татарстан,Приволжский
2901077690,1022900514449,290101001,Частное образовательное учреждение высшего образования «Институт Управления»,ЧОУ ВО «Институт Управления»,163060,Архангельская обл,Северо-Западный
6452006471,1026402664903,645201001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский Государственный Медицинский Университет Имени В.И.Разумовского» министерства здравоохранения российской федерации,ФГБОУ ВО Саратовский ГМУ им.В.И.Разумовского Минздрава России,410012,Саратовская обл,Приволжский
0278011005,1030204602669,027801001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский Государственный Аграрный Университет»,ФГБОУ ВО Башгау,450001,Респ Башкортостан,Приволжский
5405115866,1025401905484,540501001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский Государственный Архитектурно-строительный Университет (сибстрин)»,ФГБОУ ВО «НГАСУ (Сибстрин)»,630008,Новосибирская обл,Сибирский
7704058909,1027739809096,770401001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Театральный Институт Имени Бориса Щукина При Государственном Академическом Театре Имени Евгения Вахтангова»,Театральный Институт имени Бориса Щукина,119002,г Москва,Центральный
5261006743,1025203574110,526101001,Федеральное государственное казенное образовательное учреждение высшего образования «Нижегородская Академия Министерства Внутренних Дел Российской Федерации»,ФГКОУ ВО «НА МВД России»,603144,Нижегородская обл,Приволжский
7701113654,1027700028840,770101001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный Университет По Землеустройству»,ФГБОУ ВО ГУЗ,105064,г Москва,Центральный
7803006161,1037843065303,784101001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский Государственный Институт Сценических Искусств»,Российский Государственный Институт Сценических Искусств,191028,г Санкт-Петербург,Северо-Западный
7604010220,1027600676487,760401001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ярославский Государственный Педагогический Университет Им. К.Д. Ушинского»,ФГБОУ ВО «Ярославский Государственный Педагогический Университет им. К.Д.Ушинского»,150000,Ярославская обл,Центральный
3232000278,1023201058627,325701001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский Государственный Технический Университет»,ФГБОУ ВО «БГТУ»,241035,Брянская обл,Центральный
3666029505,1023601560510,366601001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский Государственный Университет»,ФГБОУ ВО «ВГУ»,394018,Воронежская обл,Центральный
3446500743,1023404237669,344601001,Федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский Государственный Университет»,ФГАОУ ВО Волгу,400062,Волгоградская обл,Южный
7809012725,1027810258761,783801001,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-петербургский Государственный Технологический Институт (технический Университет)»,Спбгти(ТУ),190013,г Санкт-Петербург,Северо-Западный
